Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 16.67      0.02     0.02  3145460     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long)
 16.67      0.04     0.02  2521047     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
 16.67      0.06     0.02                             float std::uniform_real_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  8.33      0.07     0.01  2382407     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  8.33      0.08     0.01  2090464     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  8.33      0.09     0.01   581978     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::setConstant(int const&)
  8.33      0.10     0.01   581978     0.00     0.00  float std::uniform_real_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<float>::param_type const&)
  8.33      0.11     0.01   327680     0.00     0.00  Eigen::internal::scalar_constant_op<int>::scalar_constant_op(Eigen::internal::scalar_constant_op<int> const&)
  8.33      0.12     0.01   203850     0.00     0.00  dfs_aux(Eigen::Matrix<int, -1, -1, 0, -1, -1>&, std::vector<bool, std::allocator<bool> >&, int, int, int, percolate_tf&, cluster_attributes&, std::vector<int, std::allocator<int> >&)
  0.00      0.12     0.00  3218818     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
