Prob 	l_cl_mean 	l_cl_dvi 	perc_mean 
5.40000014e-02	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
1.08000003e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
1.62000000e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.16000006e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
2.70000011e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
3.24000001e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
3.77999991e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
4.31999981e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
4.85999972e-01	0.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
5.49999952e-01	9.81445313e-03	1.92646980e-03	5.00000000e-02	5.26315789e-02
5.59999943e-01	4.39575195e-02	8.27390567e-03	2.00000000e-01	2.10526316e-01
5.69999933e-01	6.23413086e-02	1.26719241e-02	2.50000000e-01	2.63157895e-01
5.79999924e-01	1.38012695e-01	2.60701123e-02	4.50000000e-01	4.73684211e-01
5.89999914e-01	2.22778320e-01	2.73047592e-02	7.00000000e-01	7.36842105e-01
5.99999905e-01	2.62512207e-01	3.65815406e-02	7.00000000e-01	7.36842105e-01
6.09999895e-01	3.47583008e-01	2.91435850e-02	8.50000000e-01	8.94736842e-01
6.19999886e-01	4.23657227e-01	2.82073906e-02	9.00000000e-01	9.47368421e-01
6.29999876e-01	5.12963867e-01	7.90264042e-03	1.00000000e+00	1.05263158e+00
6.39999866e-01	5.63757324e-01	1.11096329e-03	1.00000000e+00	1.05263158e+00
6.49999857e-01	5.87402344e-01	7.48144953e-04	1.00000000e+00	1.05263158e+00
6.94999874e-01	6.72644043e-01	2.07733324e-04	1.00000000e+00	1.05263158e+00
7.29999900e-01	7.21704102e-01	7.61176410e-05	1.00000000e+00	1.05263158e+00
7.64999926e-01	7.59997559e-01	5.59560562e-05	1.00000000e+00	1.05263158e+00
7.99999952e-01	7.97729492e-01	4.22910640e-05	1.00000000e+00	1.05263158e+00
8.34999979e-01	8.33728027e-01	2.81614693e-05	1.00000000e+00	1.05263158e+00
8.70000005e-01	8.70104980e-01	2.32299692e-05	1.00000000e+00	1.05263158e+00
9.05000031e-01	9.05358887e-01	1.78015546e-05	1.00000000e+00	1.05263158e+00
9.40000057e-01	9.40600586e-01	1.19968465e-05	1.00000000e+00	1.05263158e+00
9.75000083e-01	9.75085449e-01	4.99094787e-06	1.00000000e+00	1.05263158e+00
