size 	Prob 	l_cl_mean 	l_cl_dvi 	perc_mean 	perc_dvi 
32	5.40000014e-02	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
32	1.08000003e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
32	1.62000000e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
32	2.16000006e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
32	2.70000011e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
32	3.24000001e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
32	3.77999991e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
32	4.31999981e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
32	4.85999972e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
32	5.49999952e-01	3.92578125e-02	9.43762127e-03	 1.50000000e-01	1.34210526e-01
32	5.59999943e-01	7.04101562e-02	1.61945845e-02	 2.50000000e-01	1.97368421e-01
32	5.69999933e-01	9.60937500e-02	2.39764163e-02	 3.00000000e-01	2.21052632e-01
32	5.79999924e-01	1.51025391e-01	3.75994908e-02	 4.00000000e-01	2.52631579e-01
32	5.89999914e-01	1.98437500e-01	4.30475135e-02	 5.00000000e-01	2.63157895e-01
32	5.99999905e-01	2.91259766e-01	3.54234670e-02	 7.50000000e-01	1.97368421e-01
32	6.09999895e-01	3.20898438e-01	4.07501421e-02	 7.50000000e-01	1.97368421e-01
32	6.19999886e-01	3.94873047e-01	3.72051716e-02	 8.50000000e-01	1.34210526e-01
32	6.29999876e-01	4.41210938e-01	3.91516033e-02	 8.50000000e-01	1.34210526e-01
32	6.39999866e-01	5.04199219e-01	2.12534955e-02	 9.50000000e-01	5.00000000e-02
32	6.49999857e-01	5.54003906e-01	7.44971225e-03	 1.00000000e+00	0.00000000e+00
32	6.94999874e-01	6.61328125e-01	6.51771144e-04	 1.00000000e+00	0.00000000e+00
32	7.29999900e-01	7.13281250e-01	3.62938329e-04	 1.00000000e+00	0.00000000e+00
32	7.64999926e-01	7.54101563e-01	2.27135106e-04	 1.00000000e+00	0.00000000e+00
32	7.99999952e-01	7.93847656e-01	1.99860021e-04	 1.00000000e+00	0.00000000e+00
32	8.34999979e-01	8.29736328e-01	1.06437583e-04	 1.00000000e+00	0.00000000e+00
32	8.70000005e-01	8.68798828e-01	5.03213782e-05	 1.00000000e+00	0.00000000e+00
32	9.05000031e-01	9.03271484e-01	4.50209567e-05	 1.00000000e+00	0.00000000e+00
32	9.40000057e-01	9.38476562e-01	4.86875835e-05	 1.00000000e+00	0.00000000e+00
32	9.75000083e-01	9.74072266e-01	2.11289054e-05	 1.00000000e+00	0.00000000e+00
64	5.40000014e-02	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
64	1.08000003e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
64	1.62000000e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
64	2.16000006e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
64	2.70000011e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
64	3.24000001e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
64	3.77999991e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
64	4.31999981e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
64	4.85999972e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
64	5.49999952e-01	9.81445313e-03	1.92646980e-03	 5.00000000e-02	5.00000000e-02
64	5.59999943e-01	4.39575195e-02	8.27390567e-03	 2.00000000e-01	1.68421053e-01
64	5.69999933e-01	6.23413086e-02	1.26719241e-02	 2.50000000e-01	1.97368421e-01
64	5.79999924e-01	1.38012695e-01	2.60701123e-02	 4.50000000e-01	2.60526316e-01
64	5.89999914e-01	2.22778320e-01	2.73047592e-02	 7.00000000e-01	2.21052632e-01
64	5.99999905e-01	2.62512207e-01	3.65815406e-02	 7.00000000e-01	2.21052632e-01
64	6.09999895e-01	3.47583008e-01	2.91435850e-02	 8.50000000e-01	1.34210526e-01
64	6.19999886e-01	4.23657227e-01	2.82073906e-02	 9.00000000e-01	9.47368421e-02
64	6.29999876e-01	5.12963867e-01	7.90264042e-03	 1.00000000e+00	0.00000000e+00
64	6.39999866e-01	5.63757324e-01	1.11096329e-03	 1.00000000e+00	0.00000000e+00
64	6.49999857e-01	5.87402344e-01	7.48144953e-04	 1.00000000e+00	0.00000000e+00
64	6.94999874e-01	6.72644043e-01	2.07733324e-04	 1.00000000e+00	0.00000000e+00
64	7.29999900e-01	7.21704102e-01	7.61176410e-05	 1.00000000e+00	0.00000000e+00
64	7.64999926e-01	7.59997559e-01	5.59560562e-05	 1.00000000e+00	0.00000000e+00
64	7.99999952e-01	7.97729492e-01	4.22910640e-05	 1.00000000e+00	0.00000000e+00
64	8.34999979e-01	8.33728027e-01	2.81614693e-05	 1.00000000e+00	0.00000000e+00
64	8.70000005e-01	8.70104980e-01	2.32299692e-05	 1.00000000e+00	0.00000000e+00
64	9.05000031e-01	9.05358887e-01	1.78015546e-05	 1.00000000e+00	0.00000000e+00
64	9.40000057e-01	9.40600586e-01	1.19968465e-05	 1.00000000e+00	0.00000000e+00
64	9.75000083e-01	9.75085449e-01	4.99094787e-06	 1.00000000e+00	0.00000000e+00
128	5.40000014e-02	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
